id	minimum_pValue	call
FBgn0000008	0.00995796061640082	present
FBgn0000014	1.72577689912138e-05	present
FBgn0000015	0.0281936656093696	absent
FBgn0000017	8.80774649682702e-05	present
FBgn0000018	3.87259451317669e-05	present
FBgn0000022	0.383107051150989	absent
FBgn0000024	0.0585474362347201	absent
FBgn0000028	6.25600048223958e-06	present
FBgn0000032	6.44825053710378e-07	present
FBgn0000036	0.0504023003236572	absent
FBgn0000037	0.208413953300756	absent
FBgn0000038	0.00216434807847097	present
FBgn0000039	0.666364668271193	absent
FBgn0000042	1.01999483489091e-14	present
FBgn0000043	1.4125870758482e-12	present
FBgn0000044	6.2608012885395e-08	present
FBgn0000045	0.0014946755356446	present
FBgn0000046	8.91971892154866e-16	present
FBgn0000047	0.01683736649011	absent
FBgn0000052	0.000129053654165522	present
FBgn0000053	0.00175753232823667	present
FBgn0000055	3.64956699030083e-11	present
FBgn0000056	0.0021394928796573	present
FBgn0000057	2.11117941157801e-07	present
FBgn0000061	0.696590129403436	absent
FBgn0000063	2.55813565882854e-05	present
FBgn0000064	2.11116261984773e-12	present
FBgn0000071	0.0405593141021277	absent
FBgn0000075	0.00405678934012473	present
FBgn0000077	0.0103053351353941	absent
FBgn0000078	1.07889421532573e-06	present
FBgn0000079	1.2677771918042e-10	present
FBgn0000083	1.784271299114e-07	present
FBgn0000084	5.8657536649869e-07	present
FBgn0000092	0.404569138047686	absent
FBgn0000094	1.04485113592723e-14	present
FBgn0000097	0.00562034698774426	present
FBgn0000100	1.66390670915971e-10	present
FBgn0000108	0.0470067702106361	absent
FBgn0000109	0.000161008011467228	present
FBgn0000114	2.05356448371553e-12	present
FBgn0000115	2.83806920602358e-09	present
FBgn0000116	1.48470399050578e-10	present
FBgn0000117	3.2242294975006e-07	present
FBgn0000119	0.000215458899308312	present
FBgn0000120	3.26608580269242e-05	present
FBgn0000121	0.000118401496179297	present
FBgn0000137	0.398301887354678	absent
FBgn0000139	2.86802445758538e-05	present
FBgn0000140	1.23052657284686e-05	present
FBgn0000146	4.07000784257876e-05	present
FBgn0000147	4.9313866348449e-08	present
FBgn0000150	1.51853555874889e-11	present
FBgn0000152	0.0273332914744865	absent
FBgn0000153	0.0947718206254509	absent
FBgn0000157	0.28746802608002	absent
FBgn0000158	0.0019960492344366	present
FBgn0000163	0.00105197713681501	present
FBgn0000166	0.242238951039933	absent
FBgn0000173	5.15438734178704e-08	present
FBgn0000179	0.0171519390646378	absent
FBgn0000180	0.0256465391878191	absent
FBgn0000181	1.4036968308629e-12	present
FBgn0000182	7.9192491164802e-10	present
FBgn0000183	8.19604720330266e-06	present
FBgn0000206	0.0116414676560721	absent
FBgn0000212	0.00243883353836101	present
FBgn0000216	0.0376725219567233	absent
FBgn0000221	7.10270361093459e-05	present
