id	minimum_pValue	call
FBgn0000008	0.00663864041093388	present
FBgn0000014	1.15051793274759e-05	present
FBgn0000015	0.018795777072913	absent
FBgn0000017	5.87183099788468e-05	present
FBgn0000018	0.000643062066391812	present
FBgn0000022	0.383107051150989	absent
FBgn0000024	0.03903162415648	absent
FBgn0000028	4.17066698815972e-06	present
FBgn0000032	4.29883369140252e-07	present
FBgn0000036	0.0672030670982096	absent
FBgn0000037	0.167636818436321	absent
FBgn0000038	0.00144289871898065	present
FBgn0000039	0.547086535539473	absent
FBgn0000042	6.7999655659394e-15	present
FBgn0000043	9.41724717232136e-13	present
FBgn0000044	4.173867525693e-08	present
FBgn0000045	0.0009964503570964	present
FBgn0000046	5.94647928103244e-16	present
FBgn0000047	0.013469893192088	absent
FBgn0000052	8.60357694436816e-05	present
FBgn0000053	0.00351506465647333	present
FBgn0000055	2.43304466020055e-11	present
FBgn0000056	0.0014263285864382	present
FBgn0000057	1.40745294105201e-07	present
FBgn0000061	0.696590129403436	absent
FBgn0000063	1.70542377255236e-05	present
FBgn0000064	1.40744174656516e-12	present
FBgn0000071	0.0652797556721327	absent
FBgn0000075	0.0128710991754244	absent
FBgn0000077	0.00687022342359608	present
FBgn0000078	7.19262810217152e-07	present
FBgn0000079	8.45184794536136e-11	present
FBgn0000083	1.18951419940933e-07	present
FBgn0000084	9.55226875506832e-07	present
FBgn0000092	0.2262753372079	absent
FBgn0000094	6.96567423951484e-15	present
FBgn0000097	0.0112406939754885	absent
FBgn0000100	1.1092711394398e-10	present
FBgn0000108	0.0313378468070908	absent
FBgn0000109	0.000214677348622971	present
FBgn0000114	1.36904298914369e-12	present
FBgn0000115	1.89204613734906e-09	present
FBgn0000116	9.89802660337188e-11	present
FBgn0000117	2.14948633166707e-07	present
FBgn0000119	0.000212594160891539	present
FBgn0000120	6.53217160538484e-05	present
FBgn0000121	9.4721196943438e-05	present
FBgn0000137	0.398301887354678	absent
FBgn0000139	4.51483753187692e-05	present
FBgn0000140	1.81415114600442e-05	present
FBgn0000146	0.000819342374265308	present
FBgn0000147	7.44265246901936e-08	present
