id	minimum_pValue	call
FBgn0000008	0.0252016954490813	absent
FBgn0000014	0.00012900356211478	present
FBgn0000015	0.265283338075703	absent
FBgn0000017	0.000136069579751197	present
FBgn0000018	1.29086483772556e-05	present
FBgn0000022	NA	absent
FBgn0000024	0.0397176436942575	absent
FBgn0000028	5.78883437420124e-05	present
FBgn0000032	9.15097284926122e-07	present
FBgn0000036	0.0262224851477292	absent
FBgn0000037	0.104206976650378	absent
FBgn0000038	0.0021386135738674	present
FBgn0000039	0.666364668271193	absent
FBgn0000042	2.65248656258444e-11	present
FBgn0000043	1.15634889991523e-11	present
FBgn0000044	2.17193664064679e-05	present
FBgn0000045	0.0126762398785695	absent
FBgn0000046	1.49919683880808e-11	present
FBgn0000047	0.581032346164642	absent
FBgn0000052	0.000137974497698112	present
FBgn0000053	0.000868882433789108	present
FBgn0000055	0.000214074573509354	present
FBgn0000056	0.395361361734538	absent
FBgn0000057	2.74786851120158e-07	present
FBgn0000061	0.616289381654698	absent
FBgn0000063	1.95014150848763e-05	present
FBgn0000064	8.04032715081806e-12	present
FBgn0000071	0.0135197713673759	absent
FBgn0000075	0.00135226311337491	present
FBgn0000077	0.0208712336830026	absent
FBgn0000078	0.000156715506649878	present
FBgn0000079	9.39539926340116e-06	present
FBgn0000083	7.27023075493413e-07	present
FBgn0000084	2.93287683249345e-07	present
FBgn0000092	0.404569138047686	absent
FBgn0000094	0.0138429665390296	absent
FBgn0000097	0.00197962575291527	present
FBgn0000100	2.10688190136996e-09	present
FBgn0000108	0.139304380672095	absent
FBgn0000109	0.000103364736569857	present
FBgn0000114	6.55710015779277e-12	present
FBgn0000115	1.70137393600131e-06	present
FBgn0000116	2.2061094464754e-09	present
FBgn0000117	1.75485853135037e-06	present
FBgn0000119	0.000110125286905038	present
FBgn0000120	1.40651595985458e-05	present
FBgn0000121	0.553724329790474	absent
FBgn0000137	NA	absent
FBgn0000139	1.43401222879269e-05	present
FBgn0000140	6.15263286423428e-06	present
FBgn0000146	1.35666928085959e-05	present
FBgn0000147	2.46569331742245e-08	present
FBgn0000150	2.47028182171735e-10	present
FBgn0000152	0.00911109715816217	present
FBgn0000153	0.0631812137503006	absent
FBgn0000157	0.139819061868136	absent
FBgn0000158	0.00119620440408065	present
FBgn0000163	0.000701318091210004	present
FBgn0000166	0.113953010306934	absent
FBgn0000173	2.82257396681274e-07	present
FBgn0000179	0.0587233920355046	absent
FBgn0000180	0.0138605029490921	absent
FBgn0000181	5.09750615600796e-12	present
FBgn0000182	1.47749465487838e-09	present
FBgn0000183	7.26078745298018e-05	present
FBgn0000206	0.00745342298096715	present
FBgn0000212	0.00268029966085168	present
FBgn0000216	NA	absent
FBgn0000221	0.00012529578107434	present
FBgn0000227	0.144786846876127	absent
FBgn0000228	0.00362226616011082	present
FBgn0000229	7.9996810437911e-07	present
FBgn0000233	0.112141453952865	absent
FBgn0000239	4.04350678984921e-08	present
FBgn0000241	0.0190409757708616	absent
FBgn0000244	0.00923434925839044	present
FBgn0000246	0.00039598435523193	present
FBgn0000247	7.81145725426702e-05	present
FBgn0000250	4.02680991891015e-06	present
FBgn0000251	1.57974367287897e-06	present
FBgn0000253	2.38581224474398e-12	present
FBgn0000256	2.76246809242849e-10	present
FBgn0000257	0.000360946817325016	present
FBgn0000259	2.72448975463364e-08	present
FBgn0000261	5.2760710521935e-10	present
FBgn0000273	0.000395295327504777	present
FBgn0000274	1.29989884535455e-09	present
FBgn0000276	0.000157957513940373	present
FBgn0000277	0.0624801345365063	absent
FBgn0000278	0.0267094157029714	absent
FBgn0000279	0.00393742829762388	present
FBgn0000280	NA	absent
FBgn0000281	NA	absent
FBgn0000283	6.25953336676148e-05	present
FBgn0000286	2.8843714003661e-05	present
FBgn0000287	1.63489753710901e-07	present
FBgn0000289	7.51749350948002e-06	present
FBgn0000299	0.0091741395130852	present
FBgn0000303	0.353973386852133	absent
FBgn0000307	0.000930521367874665	present
FBgn0000308	4.92019847146988e-11	present
FBgn0000316	0.000249264618145386	present
FBgn0000317	0.021925892562215	absent
FBgn0000318	1.55218690718969e-10	present
FBgn0000319	7.50912578169005e-07	present
FBgn0000320	2.29222333752252e-05	present
FBgn0000326	0.000165382953202697	present
FBgn0000330	0.000228467705311276	present
FBgn0000337	0.130874606777798	absent
FBgn0000339	4.99215387305892e-08	present
FBgn0000346	1.39872078131789e-06	present
FBgn0000351	0.0584121037904908	absent
FBgn0000352	0.0011718239858865	present
FBgn0000355	0.188203534818349	absent
FBgn0000356	NA	absent
FBgn0000357	0.0028800073926141	present
FBgn0000358	NA	absent
FBgn0000359	NA	absent
FBgn0000360	0.493042541712141	absent
FBgn0000370	6.8801904910361e-09	present
FBgn0000376	0.0084711956328401	present
FBgn0000377	0.00125394293648185	present
FBgn0000382	0.000538638707776004	present
FBgn0000384	5.34850330876682e-05	present
FBgn0000392	3.15712041462789e-09	present
FBgn0000394	0.00163276399657938	present
FBgn0000395	0.00711156849078354	present
FBgn0000404	1.04628246271805e-07	present
FBgn0000405	2.86451735663178e-08	present
FBgn0000406	0.0646339904646765	absent
FBgn0000411	4.15901754968734e-05	present
FBgn0000412	1.88588251754815e-09	present
FBgn0000414	0.0388608196685492	absent
FBgn0000416	3.03991970729157e-09	present
FBgn0000422	5.06407519158673e-05	present
FBgn0000426	7.92726527498523e-08	present
FBgn0000427	0.0139476626460578	absent
FBgn0000439	0.460076120385904	absent
