#SUBMITTED ID	SYMBOL
FBgn0051872	CG31872
FBgn0029896	CG3168
FBgn0085249	CG34220
FBgn0036970	Spn77Bc
FBgn0265264	CG17097
FBgn0010019	Cyp4g1
FBgn0028415	Met75Cb
FBgn0034229	CG4847
FBgn0011559	Acp36DE
FBgn0047334	BG642312
FBgn0260766	CG42564
FBgn0050026	CG30026
FBgn0034153	Acp53C14b
FBgn0051198	CG31198
FBgn0040827	CG13315
FBgn0032122	CG31883
FBgn0034758	CG13510
FBgn0000055	Adh
FBgn0002940	ninaE
FBgn0011668	Mst57Da
FBgn0023415	Acp32CD
FBgn0040093	lectin-46Ca
FBgn0033788	CG13323
FBgn0002868	MtnA
FBgn0004045	Yp1
FBgn0052656	Muc11A
FBgn0002863	Acp95EF
FBgn0053258	CG33258
FBgn0259682	Jabba
FBgn0031832	Trmt6
FBgn0000592	Est-6
FBgn0004414	msopa
FBgn0032835	CG16772
FBgn0250815	Jon65Aiv
FBgn0250842	CG17575
FBgn0286508	Had1
FBgn0260396	CG42521
FBgn0083938	BG642163
FBgn0035670	CG10472
FBgn0051343	CG31343
FBgn0003710	tipE
FBgn0032075	Tsp29Fb
FBgn0262583	CG43123
FBgn0039529	CG5612
FBgn0036091	CG18628
FBgn0262623	CG43147
FBgn0054051	CG34051
FBgn0038938	CG7084
FBgn0004181	Ebp
FBgn0040092	lectin-46Cb
FBgn0030157	CG1468
FBgn0033774	CG12374
FBgn0030362	regucalcin
FBgn0034152	Acp53C14a
FBgn0030828	CG5162
FBgn0028986	Spn38F
FBgn0250757	kumpel
FBgn0036106	CG6409
FBgn0040097	lectin-30A
FBgn0031294	IA-2
FBgn0033820	CG4716
FBgn0031653	Jon25Biii
FBgn0003357	Jon99Ciii
FBgn0032144	CG17633
FBgn0005585	Calr
FBgn0040992	CG10570
FBgn0260228	CG42502
FBgn0034474	Obp56g
FBgn0051233	CG31233
FBgn0031617	CG15635
FBgn0043825	CG18284
FBgn0264329	CG43788
FBgn0025454	Cyp6g1
FBgn0250832	Dup99B
FBgn0003149	Prm
FBgn0028920	CG8997
FBgn0040060	yip7
FBgn0032068	LManV
FBgn0028533	CG7953
FBgn0039521	CG5402
FBgn0002570	Mal-A1
FBgn0039682	Obp99c
FBgn0003863	alphaTry
FBgn0002855	Acp26Aa
FBgn0261055	Sfp26Ad
FBgn0039777	Jon99Fii
FBgn0250841	CG17242
FBgn0265541	CR44391
FBgn0004003	wbl
FBgn0038719	CG16727
FBgn0037341	CG12746
FBgn0053290	CG33290
FBgn0040725	CG13946
FBgn0015586	Acp76A
